------     testcase/PatternMatch.c     ------
[ 332]identifier:         row
[ 332]delimiter:          ]
[ 332]delimiter:          ;
[ 333]reserved word( 1):  break
[ 333]delimiter:          ;
[ 334]delimiter:          }
[ 335]delimiter:          }
[ 336]reserved word(15):  if
[ 336]operator(40):       (
[ 336]identifier:         row
[ 336]operator(60):       <
[ 336]identifier:         IMG_ROW
[ 336]operator(41):       )
[ 336]delimiter:          {
[ 337]operator(90):       --
[ 337]identifier:         row
[ 337]delimiter:          ;
[ 338]reserved word(13):  for
[ 338]operator(40):       (
[ 338]delimiter:          ;
[ 338]identifier:         row
[ 338]operator(123):       >=
[ 338]constant:           0
[ 338]delimiter:          ;
[ 338]operator(90):       --
[ 338]identifier:         row
[ 338]operator(41):       )
[ 338]delimiter:          {
[ 339]identifier:         resultSet
[ 339]operator(46):       .
[ 339]identifier:         leftBorder
[ 339]delimiter:          [
[ 339]identifier:         row
[ 339]delimiter:          ]
[ 339]operator(61):       =
[ 339]identifier:         col
[ 339]delimiter:          ;
[ 340]delimiter:          }
[ 341]identifier:         MiddleLineUpdateAll
[ 341]operator(40):       (
[ 341]operator(41):       )
[ 341]delimiter:          ;
[ 342]delimiter:          }
[ 343]delimiter:          }
[ 345]reserved word(29):  void
[ 345]identifier:         LeftCurveCompensate
[ 345]operator(40):       (
[ 345]operator(41):       )
[ 345]delimiter:          {
[ 346]reserved word(13):  for
[ 346]operator(40):       (
[ 346]reserved word(16):  int
[ 346]identifier:         row_
[ 346]operator(61):       =
[ 346]identifier:         IMG_ROW
[ 346]operator(45):       -
[ 346]constant:           1
[ 346]delimiter:          ;
[ 346]identifier:         row_
[ 346]operator(62):       >
[ 346]identifier:         black_pt_row
[ 346]delimiter:          ;
[ 346]operator(90):       --
[ 346]identifier:         row_
[ 346]operator(41):       )
[ 347]delimiter:          {
[ 348]identifier:         resultSet
[ 348]operator(46):       .
[ 348]identifier:         middleLine
[ 348]delimiter:          [
[ 348]identifier:         row_
[ 348]delimiter:          ]
[ 348]operator(61):       =
[ 348]constant:           0
[ 348]delimiter:          ;
[ 349]delimiter:          }
[ 350]reserved word(13):  for
[ 350]operator(40):       (
[ 350]reserved word(16):  int
[ 350]identifier:         cnt
[ 350]operator(61):       =
[ 350]constant:           0
[ 350]delimiter:          ;
[ 350]identifier:         cnt
[ 350]operator(60):       <
[ 350]constant:           12
[ 350]delimiter:          ;
[ 350]operator(86):       ++
[ 350]identifier:         cnt
[ 350]operator(41):       )
[ 351]delimiter:          {
[ 352]identifier:         resultSet
[ 352]operator(46):       .
[ 352]identifier:         middleLine
[ 352]delimiter:          [
[ 352]identifier:         black_pt_row
[ 352]operator(45):       -
[ 352]identifier:         cnt
[ 352]delimiter:          ]
[ 352]operator(61):       =
[ 352]identifier:         cnt
[ 352]operator(42):       *
[ 352]identifier:         resultSet
[ 352]operator(46):       .
[ 352]identifier:         middleLine
[ 352]delimiter:          [
[ 352]identifier:         black_pt_row
[ 352]operator(45):       -
[ 352]constant:           12
[ 352]delimiter:          ]
[ 352]operator(47):       /
[ 352]constant:           12
[ 352]delimiter:          ;
[ 353]delimiter:          }
[ 354]delimiter:          }
[ 356]reserved word(29):  void
[ 356]identifier:         RightCurveCompensate
[ 356]operator(40):       (
[ 356]operator(41):       )
[ 356]delimiter:          {
[ 357]reserved word(13):  for
[ 357]operator(40):       (
[ 357]reserved word(16):  int
[ 357]identifier:         row_
[ 357]operator(61):       =
[ 357]identifier:         IMG_ROW
[ 357]operator(45):       -
[ 357]constant:           1
[ 357]delimiter:          ;
[ 357]identifier:         row_
[ 357]operator(62):       >
[ 357]identifier:         black_pt_row
[ 357]delimiter:          ;
[ 357]operator(90):       --
[ 357]identifier:         row_
[ 357]operator(41):       )
[ 358]delimiter:          {
[ 359]identifier:         resultSet
[ 359]operator(46):       .
[ 359]identifier:         middleLine
[ 359]delimiter:          [
[ 359]identifier:         row_
[ 359]delimiter:          ]
[ 359]operator(61):       =
[ 359]identifier:         IMG_COL
[ 359]operator(45):       -
[ 359]constant:           1
[ 359]delimiter:          ;
[ 360]delimiter:          }
[ 361]reserved word(13):  for
[ 361]operator(40):       (
[ 361]reserved word(16):  int
[ 361]identifier:         cnt
[ 361]operator(61):       =
[ 361]constant:           0
[ 361]delimiter:          ;
[ 361]identifier:         cnt
[ 361]operator(60):       <
[ 361]constant:           12
[ 361]delimiter:          ;
[ 361]operator(86):       ++
[ 361]identifier:         cnt
[ 361]operator(41):       )
[ 362]delimiter:          {
[ 363]identifier:         resultSet
[ 363]operator(46):       .
[ 363]identifier:         middleLine
[ 363]delimiter:          [
[ 363]identifier:         black_pt_row
[ 363]operator(45):       -
[ 363]identifier:         cnt
[ 363]delimiter:          ]
[ 363]operator(61):       =
[ 363]identifier:         IMG_COL
[ 363]operator(45):       -
[ 363]constant:           1
[ 364]operator(45):       -
[ 364]identifier:         cnt
[ 364]operator(42):       *
[ 364]operator(40):       (
[ 364]identifier:         IMG_COL
[ 364]operator(45):       -
[ 364]constant:           1
[ 364]operator(45):       -
[ 364]identifier:         resultSet
[ 364]operator(46):       .
[ 364]identifier:         middleLine
[ 364]delimiter:          [
[ 364]identifier:         black_pt_row
[ 364]operator(45):       -
[ 364]constant:           12
[ 364]delimiter:          ]
[ 364]operator(41):       )
[ 364]operator(47):       /
[ 364]constant:           12
[ 364]delimiter:          ;
[ 365]delimiter:          }
[ 366]delimiter:          }
[ 368]reserved word(29):  void
[ 368]identifier:         CrossRoadCompensate
[ 368]operator(40):       (
[ 368]operator(41):       )
[ 368]delimiter:          {
[ 369]reserved word(16):  int
[ 369]identifier:         leftCompensateEnd
[ 369]operator(61):       =
[ 369]identifier:         CrossRoadCompensateOneSide
[ 369]operator(40):       (
[ 369]identifier:         resultSet
[ 369]operator(46):       .
[ 369]identifier:         leftBorder
[ 369]delimiter:          ,
[ 369]identifier:         resultSet
[ 369]operator(46):       .
[ 369]identifier:         leftSlope
[ 369]delimiter:          ,
[ 369]identifier:         resultSet
[ 369]operator(46):       .
[ 369]identifier:         leftZero
[ 369]operator(41):       )
[ 369]delimiter:          ;
[ 370]reserved word(16):  int
[ 370]identifier:         rightCompensateEnd
[ 370]operator(61):       =
[ 370]identifier:         CrossRoadCompensateOneSide
[ 370]operator(40):       (
[ 370]identifier:         resultSet
[ 370]operator(46):       .
[ 370]identifier:         rightBorder
[ 370]delimiter:          ,
[ 370]identifier:         resultSet
[ 370]operator(46):       .
[ 370]identifier:         rightSlope
[ 370]delimiter:          ,
[ 370]identifier:         resultSet
[ 370]operator(46):       .
[ 370]identifier:         rightZero
[ 370]operator(41):       )
[ 370]delimiter:          ;
[ 372]reserved word(16):  int
[ 372]identifier:         borderSearchStart
[ 372]delimiter:          ;
[ 374]reserved word(15):  if
[ 374]operator(40):       (
[ 374]identifier:         leftCompensateEnd
[ 374]operator(60):       <
[ 374]identifier:         rightCompensateEnd
[ 374]operator(41):       )
[ 375]delimiter:          {
[ 376]identifier:         borderSearchStart
[ 376]operator(61):       =
[ 376]operator(40):       (
[ 376]identifier:         resultSet
[ 376]operator(46):       .
[ 376]identifier:         leftBorder
[ 376]delimiter:          [
[ 376]identifier:         leftCompensateEnd
[ 376]operator(45):       -
[ 376]constant:           1
[ 376]delimiter:          ]
[ 376]operator(43):       +
[ 376]identifier:         resultSet
[ 376]operator(46):       .
[ 376]identifier:         rightBorder
[ 376]delimiter:          [
[ 376]identifier:         leftCompensateEnd
[ 376]operator(45):       -
[ 376]constant:           1
[ 376]delimiter:          ]
[ 376]operator(41):       )
[ 376]operator(47):       /
[ 376]constant:           2
[ 376]delimiter:          ;
[ 377]reserved word(13):  for
[ 377]operator(40):       (
[ 377]reserved word(16):  int
[ 377]identifier:         row
[ 377]operator(61):       =
[ 377]identifier:         leftCompensateEnd
[ 377]delimiter:          ;
[ 377]identifier:         row
[ 377]operator(60):       <
[ 377]identifier:         rightCompensateEnd
[ 377]delimiter:          ;
[ 377]operator(86):       ++
[ 377]identifier:         row
[ 377]operator(41):       )
[ 378]delimiter:          {
[ 379]identifier:         LeftBorderSearchFrom
[ 379]operator(40):       (
[ 379]identifier:         row
[ 379]delimiter:          ,
[ 379]identifier:         borderSearchStart
[ 379]operator(41):       )
[ 379]delimiter:          ;
[ 380]identifier:         borderSearchStart
[ 380]operator(61):       =
[ 380]operator(40):       (
[ 380]identifier:         resultSet
[ 380]operator(46):       .
[ 380]identifier:         rightBorder
[ 380]delimiter:          [
[ 380]identifier:         row
[ 380]delimiter:          ]
[ 380]operator(43):       +
[ 380]identifier:         resultSet
[ 380]operator(46):       .
[ 380]identifier:         leftBorder
[ 380]delimiter:          [
[ 380]identifier:         row
[ 380]delimiter:          ]
[ 380]operator(41):       )
[ 380]operator(47):       /
[ 380]constant:           2
[ 380]delimiter:          ;
[ 381]delimiter:          }
[ 382]delimiter:          }
[ 383]reserved word( 9):  else
[ 383]reserved word(15):  if
[ 383]operator(40):       (
[ 383]identifier:         leftCompensateEnd
[ 383]operator(62):       >
[ 383]identifier:         rightCompensateEnd
[ 383]operator(41):       )
[ 384]delimiter:          {
[ 385]identifier:         borderSearchStart
[ 385]operator(61):       =
[ 385]operator(40):       (
[ 385]identifier:         resultSet
[ 385]operator(46):       .
[ 385]identifier:         leftBorder
[ 385]delimiter:          [
[ 385]identifier:         rightCompensateEnd
[ 385]operator(45):       -
[ 385]constant:           1
[ 385]delimiter:          ]
[ 385]operator(43):       +
[ 385]identifier:         resultSet
[ 385]operator(46):       .
[ 385]identifier:         rightBorder
[ 385]delimiter:          [
[ 385]identifier:         rightCompensateEnd
[ 385]operator(45):       -
[ 385]constant:           1
[ 385]delimiter:          ]
[ 385]operator(41):       )
[ 385]operator(47):       /
[ 385]constant:           2
[ 385]delimiter:          ;
[ 386]reserved word(13):  for
[ 386]operator(40):       (
[ 386]reserved word(16):  int
[ 386]identifier:         row
[ 386]operator(61):       =
[ 386]identifier:         rightCompensateEnd
[ 386]delimiter:          ;
[ 386]identifier:         row
[ 386]operator(60):       <
[ 386]identifier:         leftCompensateEnd
[ 386]delimiter:          ;
[ 386]operator(86):       ++
[ 386]identifier:         row
[ 386]operator(41):       )
[ 387]delimiter:          {
[ 388]identifier:         RightBorderSearchFrom
[ 388]operator(40):       (
[ 388]identifier:         row
[ 388]delimiter:          ,
[ 388]identifier:         borderSearchStart
[ 388]operator(41):       )
[ 388]delimiter:          ;
[ 389]identifier:         borderSearchStart
[ 389]operator(61):       =
[ 389]operator(40):       (
[ 389]identifier:         resultSet
[ 389]operator(46):       .
[ 389]identifier:         rightBorder
[ 389]delimiter:          [
[ 389]identifier:         row
[ 389]delimiter:          ]
[ 389]operator(43):       +
[ 389]identifier:         resultSet
[ 389]operator(46):       .
[ 389]identifier:         leftBorder
[ 389]delimiter:          [
[ 389]identifier:         row
[ 389]delimiter:          ]
[ 389]operator(41):       )
[ 389]operator(47):       /
[ 389]constant:           2
[ 389]delimiter:          ;
[ 390]delimiter:          }
[ 391]delimiter:          }
[ 393]reserved word(16):  int
[ 393]identifier:         compensateEnd
[ 393]operator(61):       =
[ 393]identifier:         Max
[ 393]operator(40):       (
[ 393]identifier:         leftCompensateEnd
[ 393]delimiter:          ,
[ 393]identifier:         rightCompensateEnd
[ 393]operator(41):       )
[ 393]delimiter:          ;
[ 395]identifier:         borderSearchStart
[ 395]operator(61):       =
[ 395]operator(40):       (
[ 395]identifier:         resultSet
[ 395]operator(46):       .
[ 395]identifier:         leftBorder
[ 395]delimiter:          [
[ 395]identifier:         compensateEnd
[ 395]operator(45):       -
[ 395]constant:           1
[ 395]delimiter:          ]
[ 395]operator(43):       +
[ 395]identifier:         resultSet
[ 395]operator(46):       .
[ 395]identifier:         rightBorder
[ 395]delimiter:          [
[ 395]identifier:         compensateEnd
[ 395]operator(45):       -
[ 395]constant:           1
[ 395]delimiter:          ]
[ 395]operator(41):       )
[ 395]operator(47):       /
[ 395]constant:           2
[ 395]delimiter:          ;
[ 396]reserved word(13):  for
[ 396]operator(40):       (
[ 396]reserved word(16):  int
[ 396]identifier:         row
[ 396]operator(61):       =
[ 396]identifier:         compensateEnd
[ 396]delimiter:          ;
[ 396]identifier:         row
[ 396]operator(60):       <
[ 396]identifier:         IMG_ROW
[ 396]delimiter:          ;
[ 396]operator(86):       ++
[ 396]identifier:         row
[ 396]operator(41):       )
[ 397]delimiter:          {
[ 398]identifier:         LeftBorderSearchFrom
[ 398]operator(40):       (
[ 398]identifier:         row
[ 398]delimiter:          ,
[ 398]identifier:         borderSearchStart
[ 398]operator(41):       )
[ 398]delimiter:          ;
[ 399]identifier:         RightBorderSearchFrom
[ 399]operator(40):       (
[ 399]identifier:         row
[ 399]delimiter:          ,
[ 399]identifier:         borderSearchStart
[ 399]operator(41):       )
[ 399]delimiter:          ;
[ 400]reserved word(15):  if
[ 400]operator(40):       (
[ 400]identifier:         Abs
[ 400]operator(40):       (
[ 400]operator(40):       (
[ 400]identifier:         resultSet
[ 400]operator(46):       .
[ 400]identifier:         rightBorder
[ 400]delimiter:          [
[ 400]identifier:         row
[ 400]delimiter:          ]
[ 400]operator(43):       +
[ 400]identifier:         resultSet
[ 400]operator(46):       .
[ 400]identifier:         leftBorder
[ 400]delimiter:          [
[ 400]identifier:         row
[ 400]delimiter:          ]
[ 400]operator(41):       )
[ 401]operator(45):       -
[ 401]operator(40):       (
[ 401]identifier:         resultSet
[ 401]operator(46):       .
[ 401]identifier:         rightBorder
[ 401]delimiter:          [
[ 401]identifier:         row
[ 401]operator(45):       -
[ 401]constant:           1
[ 401]delimiter:          ]
[ 401]operator(43):       +
[ 401]identifier:         resultSet
[ 401]operator(46):       .
[ 401]identifier:         leftBorder
[ 401]delimiter:          [
[ 401]identifier:         row
[ 401]operator(45):       -
[ 401]constant:           1
[ 401]delimiter:          ]
[ 401]operator(41):       )
[ 401]operator(41):       )
[ 401]operator(60):       <
[ 401]constant:           10
[ 401]operator(41):       )
[ 402]delimiter:          {
[ 403]identifier:         borderSearchStart
[ 403]operator(61):       =
[ 403]operator(40):       (
[ 403]identifier:         resultSet
[ 403]operator(46):       .
[ 403]identifier:         rightBorder
[ 403]delimiter:          [
[ 403]identifier:         row
[ 403]delimiter:          ]
[ 403]operator(43):       +
[ 403]identifier:         resultSet
[ 403]operator(46):       .
[ 403]identifier:         leftBorder
[ 403]delimiter:          [
[ 403]identifier:         row
[ 403]delimiter:          ]
[ 403]operator(41):       )
[ 403]operator(47):       /
[ 403]constant:           2
[ 403]delimiter:          ;
[ 404]delimiter:          }
[ 405]delimiter:          }
[ 407]identifier:         MiddleLineUpdateAll
[ 407]operator(40):       (
[ 407]operator(41):       )
[ 407]delimiter:          ;
[ 408]delimiter:          }
[ 410]identifier:         int16_t
[ 410]identifier:         CrossRoadCompensateOneSide
[ 410]operator(40):       (
[ 410]identifier:         int16_t
[ 410]identifier:         borders
[ 410]delimiter:          [
[ 410]identifier:         IMG_ROW
[ 410]delimiter:          ]
[ 410]delimiter:          ,
[ 410]identifier:         int16_t
[ 410]identifier:         slopes
[ 410]delimiter:          [
[ 410]identifier:         IMG_ROW
[ 410]delimiter:          ]
[ 410]delimiter:          ,
[ 410]identifier:         int16_t
[ 410]identifier:         zeros
[ 410]delimiter:          [
[ 410]identifier:         IMG_ROW
[ 410]delimiter:          ]
[ 410]operator(41):       )
[ 410]delimiter:          {
[ 411]reserved word(16):  int
[ 411]identifier:         compensateEnd
[ 411]operator(61):       =
[ 411]identifier:         IMG_ROW
[ 411]delimiter:          ;
[ 412]reserved word(16):  int
[ 412]identifier:         row
[ 412]operator(61):       =
[ 412]constant:           6
[ 412]delimiter:          ;
[ 413]reserved word(31):  while
[ 413]operator(40):       (
[ 413]identifier:         row
[ 413]operator(60):       <
[ 413]identifier:         IMG_ROW
[ 413]operator(76):       &&
[ 413]identifier:         borders
[ 413]delimiter:          [
[ 413]identifier:         row
[ 413]delimiter:          ]
[ 413]operator(94):       !=
[ 413]constant:           0
[ 414]operator(76):       &&
[ 414]identifier:         Abs
[ 414]operator(40):       (
[ 414]identifier:         slopes
[ 414]delimiter:          [
[ 414]identifier:         row
[ 414]delimiter:          ]
[ 414]operator(45):       -
[ 414]identifier:         slopes
[ 414]delimiter:          [
[ 414]identifier:         row
[ 414]operator(45):       -
[ 414]constant:           1
[ 414]delimiter:          ]
[ 414]operator(41):       )
[ 414]operator(60):       <
[ 414]constant:           3
[ 415]operator(76):       &&
[ 415]operator(33):       !
[ 415]identifier:         OpstSign
[ 415]operator(40):       (
[ 415]identifier:         slopes
[ 415]delimiter:          [
[ 415]identifier:         row
[ 415]delimiter:          ]
[ 415]delimiter:          ,
[ 415]identifier:         slopes
[ 415]delimiter:          [
[ 415]identifier:         row
[ 415]operator(45):       -
[ 415]constant:           1
[ 415]delimiter:          ]
[ 415]operator(41):       )
[ 415]operator(41):       )
[ 415]delimiter:          {
[ 415]operator(86):       ++
[ 415]identifier:         row
[ 415]delimiter:          ;
[ 415]delimiter:          }
[ 416]identifier:         int16_t
[ 416]identifier:         _row
[ 416]operator(61):       =
[ 416]identifier:         row
[ 416]delimiter:          ;
[ 417]reserved word(13):  for
[ 417]operator(40):       (
[ 417]delimiter:          ;
[ 417]identifier:         row
[ 417]operator(60):       <
[ 417]identifier:         compensateEnd
[ 417]delimiter:          ;
[ 417]operator(86):       ++
[ 417]identifier:         row
[ 417]operator(41):       )
[ 418]delimiter:          {
[ 419]identifier:         borders
[ 419]delimiter:          [
[ 419]identifier:         row
[ 419]delimiter:          ]
[ 419]operator(61):       =
[ 419]identifier:         row
[ 419]operator(42):       *
[ 419]identifier:         slopes
[ 419]delimiter:          [
[ 419]identifier:         compensateEnd
[ 419]operator(45):       -
[ 419]constant:           5
[ 419]delimiter:          ]
[ 419]operator(43):       +
[ 419]identifier:         zeros
[ 419]delimiter:          [
[ 419]identifier:         compensateEnd
[ 419]operator(45):       -
[ 419]constant:           5
[ 419]delimiter:          ]
[ 419]delimiter:          ;
[ 420]reserved word(15):  if
[ 420]operator(40):       (
[ 420]identifier:         IsBlack
[ 420]operator(40):       (
[ 420]identifier:         row
[ 420]delimiter:          ,
[ 420]identifier:         borders
[ 420]delimiter:          [
[ 420]identifier:         row
[ 420]delimiter:          ]
[ 420]operator(41):       )
[ 420]operator(41):       )
[ 421]delimiter:          {
[ 422]identifier:         compensateEnd
[ 422]operator(61):       =
[ 422]identifier:         row
[ 422]delimiter:          ;
[ 423]reserved word( 1):  break
[ 423]delimiter:          ;
[ 424]delimiter:          }
[ 425]delimiter:          }
[ 426]reserved word(19):  return
[ 426]identifier:         compensateEnd
[ 426]delimiter:          ;
[ 427]delimiter:          }
[ 429]reserved word(33):  bool
[ 429]identifier:         StartLineJudge
[ 429]operator(40):       (
[ 429]identifier:         int16_t
[ 429]identifier:         row
[ 429]operator(41):       )
[ 429]delimiter:          {
[ 430]identifier:         int16_t
[ 430]identifier:         toggleCnt
[ 430]operator(61):       =
[ 430]constant:           0
[ 430]delimiter:          ;
[ 431]identifier:         int16_t
[ 431]identifier:         patternRowCnt
[ 431]operator(61):       =
[ 431]constant:           0
[ 431]delimiter:          ;
[ 432]reserved word(13):  for
[ 432]operator(40):       (
[ 432]identifier:         int16_t
[ 432]identifier:         i
[ 432]operator(61):       =
[ 432]identifier:         row
[ 432]delimiter:          ;
[ 432]identifier:         i
[ 432]operator(123):       >=
[ 432]identifier:         row
[ 432]operator(45):       -
[ 432]constant:           6
[ 432]delimiter:          ;
[ 432]operator(90):       --
[ 432]identifier:         i
[ 432]operator(41):       )
[ 432]delimiter:          {
[ 433]reserved word(13):  for
[ 433]operator(40):       (
[ 433]identifier:         int16_t
[ 433]identifier:         j
[ 433]operator(61):       =
[ 433]identifier:         IMG_COL
[ 433]operator(47):       /
[ 433]constant:           2
[ 433]delimiter:          ;
[ 433]identifier:         j
[ 433]operator(123):       >=
[ 433]constant:           0
[ 433]delimiter:          ;
[ 433]operator(90):       --
[ 433]identifier:         j
[ 433]operator(41):       )
[ 433]delimiter:          {
[ 434]reserved word(15):  if
[ 434]operator(40):       (
[ 434]identifier:         TstImgBufAsBitMap
[ 434]operator(40):       (
[ 434]identifier:         i
[ 434]delimiter:          ,
[ 434]identifier:         j
[ 434]operator(41):       )
[ 434]operator(94):       !=
[ 434]identifier:         TstImgBufAsBitMap
[ 434]operator(40):       (
[ 434]identifier:         i
[ 434]delimiter:          ,
[ 434]identifier:         j
[ 434]operator(43):       +
[ 434]constant:           1
[ 434]operator(41):       )
[ 434]operator(41):       )
[ 434]delimiter:          {
[ 435]reserved word(15):  if
[ 435]operator(40):       (
[ 435]identifier:         toggleCnt
[ 435]operator(62):       >
[ 435]constant:           14
[ 435]operator(41):       )
[ 435]delimiter:          {
[ 436]identifier:         toggleCnt
[ 436]operator(61):       =
[ 436]constant:           0
[ 436]delimiter:          ;
[ 437]operator(86):       ++
[ 437]identifier:         patternRowCnt
[ 437]delimiter:          ;
[ 438]reserved word(15):  if
[ 438]operator(40):       (
[ 438]identifier:         patternRowCnt
[ 438]operator(62):       >
[ 438]constant:           4
[ 438]operator(41):       )
[ 438]delimiter:          {
[ 439]reserved word(19):  return
[ 439]constant:           true
[ 439]delimiter:          ;
[ 440]delimiter:          }
[ 440]reserved word( 9):  else
[ 440]delimiter:          {
[ 441]reserved word( 1):  break
[ 441]delimiter:          ;
[ 442]delimiter:          }
[ 443]delimiter:          }
[ 443]reserved word( 9):  else
[ 443]delimiter:          {
[ 444]operator(86):       ++
[ 444]identifier:         toggleCnt
[ 444]delimiter:          ;
[ 445]delimiter:          }
[ 446]delimiter:          }
[ 447]delimiter:          }
[ 448]delimiter:          }
[ 449]reserved word(19):  return
[ 449]constant:           false
[ 449]delimiter:          ;
[ 450]delimiter:          }
[ 452]reserved word(33):  bool
[ 452]identifier:         StraightLineJudge
[ 452]operator(40):       (
[ 452]reserved word(29):  void
[ 452]operator(41):       )
[ 452]delimiter:          {
[ 453]identifier:         int16_t
[ 453]identifier:         middleAreaCnt
[ 453]operator(61):       =
[ 453]constant:           0
[ 453]delimiter:          ;
[ 454]reserved word(13):  for
[ 454]operator(40):       (
[ 454]identifier:         int16_t
[ 454]identifier:         i
[ 454]operator(61):       =
[ 454]constant:           0
[ 454]delimiter:          ;
[ 454]identifier:         i
[ 454]operator(60):       <
[ 454]identifier:         IMG_ROW
[ 454]delimiter:          ;
[ 454]operator(86):       ++
[ 454]identifier:         i
[ 454]operator(41):       )
[ 454]delimiter:          {
[ 455]reserved word(15):  if
[ 455]operator(40):       (
[ 455]identifier:         InRange
[ 455]operator(40):       (
[ 455]identifier:         resultSet
[ 455]operator(46):       .
[ 455]identifier:         middleLine
[ 455]delimiter:          [
[ 455]identifier:         i
[ 455]delimiter:          ]
[ 455]delimiter:          ,
[ 455]identifier:         IMG_COL
[ 455]operator(47):       /
[ 455]constant:           2
[ 455]operator(45):       -
[ 455]constant:           10
[ 455]delimiter:          ,
[ 455]identifier:         IMG_COL
[ 455]operator(47):       /
[ 455]constant:           2
[ 455]operator(43):       +
[ 455]constant:           10
[ 455]operator(41):       )
[ 455]operator(41):       )
[ 455]delimiter:          {
[ 456]identifier:         middleAreaCnt
[ 456]operator(86):       ++
[ 456]delimiter:          ;
[ 457]delimiter:          }
[ 458]delimiter:          }
[ 459]reserved word(19):  return
[ 459]identifier:         middleAreaCnt
[ 459]operator(62):       >
[ 459]constant:           38
[ 459]delimiter:          ;
[ 460]delimiter:          }
[ 462]reserved word(32):  inline
[ 462]reserved word(12):  float
[ 462]identifier:         Abs
[ 462]operator(40):       (
[ 462]reserved word(12):  float
[ 462]identifier:         input
[ 462]operator(41):       )
[ 462]delimiter:          {
[ 463]reserved word(19):  return
[ 463]identifier:         input
[ 463]operator(123):       >=
[ 463]constant:           0
[ 463]operator(63):       ?
[ 463]identifier:         input
[ 463]operator(58):       :
[ 463]operator(45):       -
[ 463]identifier:         input
[ 463]delimiter:          ;
[ 464]delimiter:          }
[ 466]reserved word(32):  inline
[ 466]reserved word(12):  float
[ 466]identifier:         Min
[ 466]operator(40):       (
[ 466]reserved word(12):  float
[ 466]identifier:         a
[ 466]delimiter:          ,
[ 466]reserved word(12):  float
[ 466]identifier:         b
[ 466]operator(41):       )
[ 466]delimiter:          {
[ 467]reserved word(19):  return
[ 467]identifier:         a
[ 467]operator(62):       >
[ 467]identifier:         b
[ 467]operator(63):       ?
[ 467]identifier:         b
[ 467]operator(58):       :
[ 467]identifier:         a
[ 467]delimiter:          ;
[ 468]delimiter:          }
[ 470]reserved word(32):  inline
[ 470]reserved word(12):  float
[ 470]identifier:         Max
[ 470]operator(40):       (
[ 470]reserved word(12):  float
[ 470]identifier:         a
[ 470]delimiter:          ,
[ 470]reserved word(12):  float
[ 470]identifier:         b
[ 470]operator(41):       )
[ 470]delimiter:          {
[ 471]reserved word(19):  return
[ 471]identifier:         a
[ 471]operator(62):       >
[ 471]identifier:         b
[ 471]operator(63):       ?
[ 471]identifier:         a
[ 471]operator(58):       :
[ 471]identifier:         b
[ 471]delimiter:          ;
[ 472]delimiter:          }
[ 474]reserved word(32):  inline
[ 474]reserved word(33):  bool
[ 474]identifier:         OpstSign
[ 474]operator(40):       (
[ 474]identifier:         int16_t
[ 474]identifier:         a
[ 474]delimiter:          ,
[ 474]identifier:         int16_t
[ 474]identifier:         b
[ 474]operator(41):       )
[ 474]delimiter:          {
[ 475]reserved word(19):  return
[ 475]operator(40):       (
[ 475]identifier:         a
[ 475]operator(38):       &
[ 475]constant:           0x8000
[ 475]operator(41):       )
[ 475]operator(94):       ^
[ 475]operator(40):       (
[ 475]identifier:         b
[ 475]operator(38):       &
[ 475]constant:           0x8000
[ 475]operator(41):       )
[ 475]delimiter:          ;
[ 476]delimiter:          }
[ 478]reserved word(32):  inline
[ 478]reserved word(33):  bool
[ 478]identifier:         InRange
[ 478]operator(40):       (
[ 478]identifier:         int16_t
[ 478]identifier:         value
[ 478]delimiter:          ,
[ 478]identifier:         int16_t
[ 478]identifier:         lbound
[ 478]delimiter:          ,
[ 478]identifier:         int16_t
[ 478]identifier:         hbound
[ 478]operator(41):       )
[ 478]delimiter:          {
[ 479]reserved word(19):  return
[ 479]identifier:         value
[ 479]operator(62):       >
[ 479]identifier:         lbound
[ 479]operator(76):       &&
[ 479]identifier:         value
[ 479]operator(60):       <
[ 479]identifier:         hbound
[ 479]delimiter:          ;
[ 480]delimiter:          }


------     testcase/Interpreter.c     ------

[   1]macro:              #include "Interpreter.h"
[   2]macro:              #include "string.h"
[   3]macro:              #include "stdlib.h"
[   4]macro:              #include "uart.h"
[   6]reserved word(23):  static
[   6]reserved word( 3):  char
[   6]identifier:         messageBuf
[   6]delimiter:          [
[   6]identifier:         COMMAND_BUF_SIZE
[   6]delimiter:          ]
[   6]delimiter:          ;
[   7]reserved word(23):  static
[   7]reserved word( 3):  char
[   7]operator(42):       *
[   7]identifier:         messageBytePtr
[   7]operator(61):       =
[   7]identifier:         messageBuf
[   7]delimiter:          ;
[   8]reserved word(23):  static
[   8]reserved word(33):  bool
[   8]identifier:         isMasterModifyingSlave
[   8]delimiter:          ;
[   9]reserved word(23):  static
[   9]reserved word(33):  bool
[   9]identifier:         isSlaveSynchronizingMaster
[   9]delimiter:          ;
[  10]reserved word(23):  static
[  10]reserved word(33):  bool
[  10]identifier:         inSwitchSector
[  10]delimiter:          ;
[  11]reserved word(23):  static
[  11]reserved word(33):  bool
[  11]identifier:         inParamSector
[  11]delimiter:          ;
[  13]reserved word(23):  static
[  13]reserved word(33):  bool
[  13]identifier:         IsUpper
[  13]operator(40):       (
[  13]reserved word( 3):  char
[  13]identifier:         charac
[  13]operator(41):       )
[  13]delimiter:          ;
[  14]reserved word(23):  static
[  14]reserved word(33):  bool
[  14]identifier:         IsLower
